op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
ADD,-,f32,f32|f32,C:CC,same nd2,1076,5,K2,"dst1024,32,1,1 s0:1024,32,1,1 s1:1024,32,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,bcast[.b..] nd2,146,5,K2,"dst1024,32,1,1 s0:1024,32,1,1 s1:1024,1,1,1 p=-"
CONT,-,f16,f16,C:R,nd3 f16->f16,1080,5,K2,"dst1024,1,1024,1 s0:1024,1,1024,1 p=-"
CONT,-,f32,f32,C:C,nd2 f32->f32,13,5,K2,"dst8,32,1,1 s0:8,32,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=1024 idx<=256,486,1,K2,"dst512,246,1,1 s0:512,246,1,1 s1:246,1,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=256 idx<=1024,270,1,K2,"dst256,697,1,1 s0:256,697,1,1 s1:697,1,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=128 idx<=4096,162,1,K2,"dst128,1290,1,1 s0:128,1290,1,1 s1:1290,1,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=1024 idx<=64,135,1,K2,"dst1024,32,1,1 s0:1024,32,1,1 s1:32,1,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=64 idx<=16384,27,1,K2,"dst64,4119,1,1 s0:64,4119,1,1 s1:4119,1,1,1 p=-"
MUL,-,f32,f32|f32,C:CC,bcast[b...] nd2,1080,5,K2,"dst1024,32,1,1 s0:1024,32,1,1 s1:1,32,1,1 p=-"
MUL,-,f32,f32|f32,C:CC,bcast[.b..] nd2,36,4,K2,"dst1024,32,1,1 s0:1024,32,1,1 s1:1024,1,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=1024,567,2,K6,"dst1024,32,1,1 s0:1024,1024,1,1 s1:1024,32,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=256 M<=256,243,1,K6,"dst256,697,1,1 s0:256,256,1,1 s1:256,697,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=128 M<=128,135,1,K6,"dst128,1290,1,1 s0:128,128,1,1 s1:128,1290,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=4096,74,2,K6,"dst4096,32,1,1 s0:1024,4096,1,1 s1:1024,32,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=256 M<=1024,35,1,K6,"dst1024,697,1,1 s0:256,1024,1,1 s1:256,697,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=128 M<=1024,31,1,K6,"dst512,1290,1,1 s0:128,512,1,1 s1:128,1290,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=64 M<=64,27,1,K6,"dst64,4119,1,1 s0:64,64,1,1 s1:64,4119,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=4096 M<=1024,20,2,K6,"dst1024,32,1,1 s0:4096,1024,1,1 s1:4096,32,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=256,8,1,K6,"dst256,697,1,1 s0:1024,256,1,1 s1:1024,697,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=128,4,1,K6,"dst128,1290,1,1 s0:512,128,1,1 s1:512,1290,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=16,2,2,K6,"dst8,32,1,1 s0:1024,8,1,1 s1:1024,32,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=64 M<=1024,1,1,K6,"dst1024,32,1,1 s0:32,1024,1,1 s1:32,32,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=256 M<=16,1,1,K6,"dst8,697,1,1 s0:256,8,1,1 s1:256,697,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=128 M<=16,1,1,K6,"dst8,1290,1,1 s0:128,8,1,1 s1:128,1290,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=64 M<=16,1,1,K6,"dst7,4119,1,1 s0:64,7,1,1 s1:64,4119,1,1 p=-"
NORM,-,f32,f32,C:C,row<=1024,23,2,K3,"dst1024,32,1,1 s0:1024,32,1,1 p=897988541"
NORM,-,f32,f32,C:C,row<=256,10,1,K3,"dst256,697,1,1 s0:256,697,1,1 p=897988541"
NORM,-,f32,f32,C:C,row<=128,6,1,K3,"dst128,1290,1,1 s0:128,1290,1,1 p=897988541"
NORM,-,f32,f32,C:C,row<=64,2,1,K3,"dst64,4119,1,1 s0:64,4119,1,1 p=897988541"
REPEAT,-,f32,f32,C:C,nd3,4,4,K2,"dst4,128,246,1 s0:1,128,246,1 p=-"
RESHAPE,-,f16,f16,C:C,view,1080,5,noop,"dst1024,1024,1,1 s0:1024,1,1024,1 p=-"
RESHAPE,-,f32,f32,C:C,view,8,4,noop,"dst1,128,246,1 s0:128,246,1,1 p=-"
UNARY,SILU,f32,f32,C:C,nd2,40,5,K1,"dst4096,32,1,1 s0:4096,32,1,1 p=10"
VIEW,-,f16,f16,R:C,view,1080,5,noop,"dst1024,1,1024,1 s0:1024,27,1024,1 p=-"
