op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
ADD,-,f32,f32|f32,C:CC,bcast[.b..] nd2,302,1,K2,"dst1536,912,1,1 s0:1536,912,1,1 s1:1536,1,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd2,150,1,K2,"dst1536,912,1,1 s0:1536,912,1,1 s1:1536,912,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd3,60,1,K2,"dst128,12,912,1 s0:128,12,912,1 s1:128,12,912,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd1,33,1,K2,"dst1536,1,1,1 s0:1536,1,1,1 s1:1536,1,1,1 p=-"
CONCAT,-,f32,f32|f32,C:CC,nd4,60,1,K2,"dst2,64,12,912 s0:1,64,12,912 s1:1,64,12,912 p=-"
CONT,-,f32,f32,C:R,nd3 f32->f32,180,1,K2,"dst128,912,12,1 s0:128,912,12,1 p=-"
CONT,-,f32,f32,C:R,nd2 f32->f32,150,1,K2,"dst1536,912,1,1 s0:1536,912,1,1 p=-"
CONT,-,f32,f32,C:R,nd4 f32->f32,120,1,K2,"dst1,64,12,912 s0:1,64,12,912 p=-"
CONT,-,f32,f32,C:C,nd2 f32->f32,1,1,K2,"dst32,912,1,1 s0:32,912,1,1 p=-"
FLASH_ATTN_EXT,-,f32,f32|f32|f32,C:CCC,D=128 Lq<=1024 Lk<=1024 H=12,30,1,K8,"dst128,12,912,1 s0:128,912,12,1 s1:128,912,12,1 s2:128,912,12,1 p=1035273459,0,0,10"
FLASH_ATTN_EXT,-,f32,f32|f32|f32,C:CCC,D=128 Lq<=1024 Lk<=4096 H=12,30,1,K8,"dst128,12,912,1 s0:128,912,12,1 s1:128,1029,12,1 s2:128,1029,12,1 p=1035273459,0,0,10"
MUL,-,f32,f32|f32,C:CC,bcast[.b..] nd2,150,1,K2,"dst1536,912,1,1 s0:1536,912,1,1 s1:1536,1,1,1 p=-"
MUL,-,f32,f32|f32,C:CC,bcast[..b.] nd3,120,1,K2,"dst128,12,912,1 s0:128,12,912,1 s1:128,12,1,1 p=-"
MUL,-,f32,f32|f32,C:CC,bcast[.b..] nd3,120,1,K2,"dst128,12,912,1 s0:128,12,912,1 s1:128,1,912,1 p=-"
MUL_MAT,-,f32,bf16|f32,C:CC,mat K<=4096 M<=4096,90,1,K6,"dst1536,912,1,1 s0:1536,1536,1,1 s1:1536,912,1,1 p=-"
MUL_MAT,-,f32,bf16|f32,C:CC,mat K<=4096 M<=16384,60,1,K6,"dst4608,912,1,1 s0:1536,4608,1,1 s1:1536,912,1,1 p=-"
MUL_MAT,-,f32,bf16|f32,C:CC,mat K<=1024 M<=4096,30,1,K6,"dst3072,1029,1,1 s0:1024,3072,1,1 s1:1024,1029,1,1 p=-"
MUL_MAT,-,f32,bf16|f32,C:CC,mat K<=16384 M<=4096,30,1,K6,"dst1536,912,1,1 s0:8192,1536,1,1 s1:8192,912,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=64 M<=4096,1,1,K6,"dst1536,912,1,1 s0:32,1536,1,1 s1:32,912,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,vec K<=256 M<=4096,1,1,K6,"dst1536,1,1,1 s0:256,1536,1,1 s1:256,1,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,vec K<=4096 M<=4096,1,1,K6,"dst1536,1,1,1 s0:1536,1536,1,1 s1:1536,1,1,1 p=-"
MUL_MAT,-,f32,f32|f32,C:CC,vec K<=4096 M<=16384,1,1,K6,"dst9216,1,1,1 s0:1536,9216,1,1 s1:1536,1,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=4096 M<=64,1,1,K6,"dst32,912,1,1 s0:1536,32,1,1 s1:1536,912,1,1 p=-"
NORM,-,f32,f32,C:C,row<=4096,91,1,K3,"dst1536,912,1,1 s0:1536,912,1,1 p=897988541"
PERMUTE,-,f32,f32,R:C,view,180,1,noop,"dst128,912,12,1 s0:128,12,912,1 p=0,2,1,3"
RESHAPE,-,f32,f32,C:C,view,360,1,noop,"dst128,12,912,1 s0:1536,912,1,1 p=-"
RMS_NORM,-,f32,f32,C:C,row<=128,120,1,K3,"dst128,12,912,1 s0:128,12,912,1 p=730643660"
UNARY,NEG,f32,f32,C:C,nd4,60,1,K1,"dst1,64,12,912 s0:1,64,12,912 p=2"
UNARY,GELU,f32,f32,C:C,nd2,30,1,K1,"dst8192,912,1,1 s0:8192,912,1,1 p=8"
UNARY,SILU,f32,f32,C:C,nd1,2,1,K1,"dst1536,1,1,1 s0:1536,1,1,1 p=10"
VIEW,-,f32,f32,R:C,view,270,1,noop,"dst1536,912,1,1 s0:4608,912,1,1 p=-"
VIEW,-,f32,f32,C:C,view,180,1,noop,"dst1536,1,1,1 s0:9216,1,1,1 p=6144"
