op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
ADD,-,f32,f32|f32,C:CC,same nd2,1424,8,K2,"dst1024,1029,1,1 s0:1024,1029,1,1 s1:1024,1029,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,bcast[.b..] nd2,919,8,K2,"dst1024,1024,1,1 s0:1024,1024,1,1 s1:1024,1,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd3,168,3,K2,"dst64,16,1024,1 s0:64,16,1024,1 s1:64,16,1024,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd1,66,2,K2,"dst1536,1,1,1 s0:1536,1,1,1 s1:1536,1,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,bcast[bbb.] nd4,19,1,K2,"dst16,16,16,512 s0:16,16,16,512 s1:1,1,1,512 p=-"
ADD,-,f32,f32|f32,C:CC,bcast[.bbb] nd4,17,1,K2,"dst512,16,16,16 s0:512,16,16,16 s1:512,1,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd4,8,1,K2,"dst16,16,16,512 s0:16,16,16,512 s1:16,16,16,512 p=-"
ADD,-,f32,f32|f32,C:CC,bcast[bbb.] nd3,1,1,K2,"dst64,64,64,1 s0:64,64,64,1 s1:1,1,1,1 p=-"
CONCAT,-,f32,f32|f32,C:CC,nd4,120,2,K2,"dst2,64,12,4096 s0:1,64,12,4096 s1:1,64,12,4096 p=-"
CONCAT,-,f32,f32|f32,C:CC,nd3,96,1,K2,"dst64,16,1024,1 s0:32,16,1024,1 s1:32,16,1024,1 p=-"
CONCAT,-,f32,f32|f32,C:CC,nd2,2,1,K2,"dst1024,1028,1,1 s0:1024,4,1,1 s1:1024,1024,1,1 p=1"
CONT,-,f16,f16,C:R,nd3 f16->f16,1080,5,K2,"dst1024,1,1024,1 s0:1024,1,1024,1 p=-"
CONT,-,f32,f32,C:R,nd3 f32->f32,552,3,K2,"dst64,1029,16,1 s0:64,1029,16,1 p=-"
CONT,-,f32,f32,C:R,nd2 f32->f32,300,2,K2,"dst1536,4096,1,1 s0:1536,4096,1,1 p=-"
CONT,-,f32,f32,C:R,nd4 f32->f32,240,2,K2,"dst1,64,12,4096 s0:1,64,12,4096 p=-"
CONT,-,f32,f32,C:C,nd3 f32->f32,97,1,K2,"dst32,32,1024,1 s0:32,32,1024,1 p=-"
CONT,-,f32,f32,C:N,nd4 f32->f32,48,1,K2,"dst512,16,16,16 s0:512,16,16,16 p=-"
CONT,-,f32,f32,C:N,nd3 f32->f32,24,1,K2,"dst1029,64,16,1 s0:1029,64,16,1 p=-"
CONT,-,f32,f32,C:C,nd2 f32->f32,16,7,K2,"dst1024,1029,1,1 s0:1024,1029,1,1 p=-"
CONT,-,f32,f32,C:N,nd2 f32->f32,3,2,K2,"dst1024,1024,1,1 s0:1024,1024,1,1 p=-"
CONV_3D,-,f32,f16|f32,C:CC,nd4,19,1,K7,"dst16,16,16,512 s0:3,3,3,4096 s1:16,16,16,8 p=1,1,1,1,1,1,1,1,1,8,1,512"
CONV_3D,-,f32,f16|f32,C:CC,nd3,1,1,K7,"dst64,64,64,1 s0:3,3,3,32 s1:64,64,64,32 p=1,1,1,1,1,1,1,1,1,32,1,1"
