op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
ADD,-,f32,f32|f32,C:CC,same nd3,21448,383,K2,"dst896,1,2,1 s0:896,1,2,1 s1:896,1,2,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd2,6444,271,K2,"dst512,54000,1,1 s0:512,54000,1,1 s1:512,54000,1,1 p=-"
CONCAT,-,f32,f32|f32,C:CC,nd3,213752,383,K2,"dst128,8,515,1 s0:128,8,514,1 s1:128,8,1,1 p=2"
CONCAT,-,f32,f32|f32,C:CC,nd4,192304,383,K2,"dst128,8,515,2 s0:128,8,515,1 s1:128,8,515,1 p=3"
CONCAT,-,f32,f32|f32,C:CC,nd2,1337,269,K2,"dst1536,54000,1,1 s0:768,54000,1,1 s1:768,54000,1,1 p=-"
CONT,-,f32,f32,C:R,nd4 f32->f32,21560,385,K2,"dst128,2,8,514 s0:128,2,8,514 p=-"
CONT,-,f32,f32,C:N,nd4 f32->f32,10724,383,K2,"dst515,128,16,2 s0:515,128,16,2 p=-"
CONT,-,f32,f32,C:C,nd4 f32->f32,10724,383,K2,"dst128,16,1,2 s0:128,16,1,2 p=-"
CONT,-,f32,f32,C:N,nd3 f32->f32,822,271,K2,"dst54000,64,8,1 s0:54000,64,8,1 p=-"
CONT,-,f32,f32,C:R,nd3 f32->f32,822,271,K2,"dst64,8,512,1 s0:64,8,512,1 p=-"
CONT,-,f32,f32,C:C,nd2 f32->f32,748,267,K2,"dst1536,54000,1,1 s0:1536,54000,1,1 p=-"
CPY,-,f32,f32|f32,C:CC,nd2 f32->f32,213752,383,K2,"dst128,8,1,1 s0:128,8,1,1 s1:128,8,1,1 p=-"
CPY,-,f32,f32|f32,C:CC,nd3 f32->f32,112,2,K2,"dst128,8,514,1 s0:128,8,514,1 s1:128,8,514,1 p=-"
DIAG_MASK_INF,-,f32,f32,C:C,nd3,56,2,K1,"dst514,514,16,1 s0:514,514,16,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=1024 idx<=16,382,382,K2,"dst896,10,1,1 s0:896,33036,1,1 s1:10,1,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=1024 idx<=1024,4,4,K2,"dst512,512,1,1 s0:512,54000,1,1 s1:512,1,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=1024 idx<=4,2,2,K2,"dst896,2,1,1 s0:896,33036,1,1 s1:2,1,1,1 p=-"
GET_ROWS,-,f32,f32|i32,C:CC,row<=1024 idx<=64,1,1,K2,"dst896,18,1,1 s0:896,33036,1,1 s1:18,1,1,1 p=-"
MUL,-,f32,f32|f32,C:CC,same nd3,32667,385,K2,"dst128,8,514,1 s0:128,8,514,1 s1:128,8,514,1 p=-"
MUL,-,f32,f32|f32,C:CC,same nd4,21448,383,K2,"dst128,8,1,2 s0:128,8,1,2 s1:128,8,1,2 p=-"
MUL,-,f32,f32|f32,C:CC,same nd2,2136,271,K2,"dst512,54000,1,1 s0:512,54000,1,1 s1:512,54000,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,vec K<=1024 M<=4096 batch-bcast,32172,383,K6,"dst2048,1,2,1 s0:896,2048,1,1 s1:896,1,2,1 p=10"
MUL_MAT,-,f32,f16|f32,C:CC,vec K<=1024 M<=1024 batch-bcast,21448,383,K6,"dst1024,1,2,1 s0:896,1024,1,1 s1:896,1,2,1 p=10"
MUL_MAT,-,f32,f16|f32,C:CC,vec K<=4096 M<=1024 batch-bcast,21448,383,K6,"dst896,1,2,1 s0:2048,896,1,1 s1:2048,1,2,1 p=10"
MUL_MAT,-,f32,f32|f32,C:RC,vec K<=128 M<=1024 batch,10724,383,K6,"dst515,1,16,2 s0:128,515,16,2 s1:128,1,16,2 p=10"
MUL_MAT,-,f32,f32|f32,C:CC,vec K<=1024 M<=128 batch,10724,383,K6,"dst128,1,16,2 s0:515,128,16,2 s1:515,1,16,2 p=10"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=1024,3183,271,K6,"dst1024,54000,1,1 s0:512,1024,1,1 s1:512,54000,1,1 p=10"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=4096,950,271,K6,"dst2048,512,1,1 s0:512,2048,1,1 s1:512,512,1,1 p=10"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=4096 M<=1024,878,271,K6,"dst512,512,1,1 s0:2048,512,1,1 s1:2048,512,1,1 p=10"
MUL_MAT,-,f32,f32|f32,C:RR,mat K<=64 M<=1024 batch,762,269,K6,"dst512,512,8,1 s0:64,512,8,1 s1:64,512,8,1 p=10"
MUL_MAT,-,f32,f32|f32,C:CC,mat K<=1024 M<=64 batch,762,269,K6,"dst64,512,8,1 s0:512,64,8,1 s1:512,512,8,1 p=10"
MUL_MAT,-,f32,f16|f32,C:CC,small-N K<=1024 M>16384,383,383,K6,"dst33036,2,1,1 s0:896,33036,1,1 s1:896,2,1,1 p=10"
MUL_MAT,-,f32,f32|f32,C:CC,mat K<=64 M<=1024,212,212,K6,"dst768,16384,1,1 s0:54,768,1,1 s1:54,16384,1,1 p=10"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=1,212,212,K6,"dst1,16384,1,1 s0:768,1,1,1 s1:768,16384,1,1 p=10"
MUL_MAT,-,f32,f32|f32,C:RR,mat K<=128 M<=1024 batch,56,2,K6,"dst514,514,16,1 s0:128,514,16,1 s1:128,514,16,1 p=10"
MUL_MAT,-,f32,f32|f32,C:CC,mat K<=1024 M<=128 batch,56,2,K6,"dst128,514,16,1 s0:514,128,16,1 s1:514,514,16,1 p=10"
