op,family,skintokens,pixal3d,p3_dino,p3_ss_flow,p3_ss_dec,p3_slat512,p3_shape_dec
ADD,K2,27892,2622,265,545,45,545,1222
CONCAT,K2,407393,218,98,60,0,60,0
CONT,K2,45400,2360,316,452,48,451,1093
CONV_3D,K7,0,20,0,0,20,0,0
CPY,K2,213864,0,0,0,0,0,0
DIAG_MASK_INF,K1,56,0,0,0,0,0,0
FLASH_ATTN_EXT,K8,0,120,0,60,0,60,0
GET_ROWS,K2,389,1080,0,0,0,0,1080
IM2COL,K7,0,1,1,0,0,0,0
MUL,K2,56251,2105,192,390,17,390,1116
MUL_MAT,K6,104037,1773,193,215,0,215,1150
NORM,K3,1964,289,49,91,17,91,41
PERMUTE,noop,67744,529,121,180,48,180,0
REPEAT,K2,71831,4,0,0,0,0,4
RESHAPE,noop,131856,1940,100,360,32,360,1088
RMS_NORM,K3,43507,240,0,120,0,120,0
ROPE,K5,21560,0,0,0,0,0,0
SCALE,K1,11546,0,0,0,0,0,0
SOFT_MAX,K4,11546,24,24,0,0,0,0
TRANSPOSE,noop,11546,3,1,2,0,0,0
UNARY:GELU,K1,0,60,0,30,0,30,0
UNARY:GELU_ERF,K1,766,24,24,0,0,0,0
UNARY:NEG,K1,0,168,48,60,0,60,0
UNARY:SIGMOID,K1,212,0,0,0,0,0,0
UNARY:SILU,K1,10780,61,0,2,17,2,40
VIEW,noop,643452,2172,192,450,0,450,1080
