# python3 gates/6-fit/budget/table.py ... (branch cut-6c @0649680, native runs in C:/b/budget), 2026-09-23T08:40:29-07:00
reference gates/8-loop/flat.fitted.obj (guest, 1393 s, 253 Newton): gap mean 1.840 p95 5.215 voxels, energy 0.0112073
native baseline base-e030: gap mean 1.862 p95 5.828 voxels, energy 0.0113689
| candidate | verts | native wall s | cpu s | Newton (AL / reduced) | energy (d% guest / native base) | gap mean / p95 (voxels) | intersections | guard guest / native base | reduced phase: assembly / LDLT / line search (broad CCD, narrow CCD, constraint set) s |
|---|---|---|---|---|---|---|---|---|---|
| solo-base | 932 | 80.8 | 76.8 | 100 (2 min) / 159 | 0.0113689 (+1.4% / +0.0%) | 1.862 / 5.828 | none | FAIL / PASS | 14.0 / 5.5 / 25.0 (11.5, 4.5, 7.0) |
| solo-psd | 932 | 41.3 | 39.4 | 28 (1 min) / 103 | 0.0111567 (-0.5% / -1.9%) | 1.829 / 4.972 | none | PASS / FAIL | 12.9 / 4.3 / 15.0 (7.6, 1.5, 4.5) |
| solo-psd-gn003 | 932 | 33.3 | 31.8 | 28 (1 min) / 71 | 0.0113846 (+1.6% / +0.1%) | 1.857 / 5.600 | none | PASS / PASS | 9.4 / 3.9 / 10.7 (5.1, 1.1, 3.5) |
| psd-gn003 | 932 | 41.5 | 34.9 | 28 (1 min) / 71 | 0.0113846 (+1.6% / +0.1%) | 1.857 / 5.600 | none | PASS / PASS | 11.3 / 3.6 / 12.0 (5.7, 1.2, 4.0) |
| gn-003 | 932 | 52.4 | 51.9 | 100 (2 min) / 72 | 0.01862 (+66.1% / +63.8%) | 2.557 / 8.299 | none | FAIL / FAIL | 6.0 / 2.4 / 11.5 (5.1, 2.3, 3.2) |
| lim-1 | 932 | 79.9 | 79.6 | 100 (2 min) / 158 | 0.0112408 (+0.3% / -1.1%) | 1.837 / 5.359 | none | PASS / PASS | 11.8 / 5.6 / 23.8 (10.6, 3.7, 7.5) |
| psd-lim1 | 932 | 55.2 | 44.0 | 21 (1 min) / 110 | 0.0111549 (-0.5% / -1.9%) | 1.829 / 4.965 | none | PASS / FAIL | 15.5 / 4.9 / 19.0 (9.5, 2.1, 5.7) |
| bp-hg | 932 | 72.3 | 71.8 | 79 (2 min) / 129 | 0.0112325 (+0.2% / -1.2%) | 1.835 / 5.325 | none | PASS / FAIL | 11.9 / 5.4 / 17.8 (7.2, 2.4, 6.5) |
| psd-hg | 932 | 50.8 | 43.6 | 23 (1 min) / 106 | 0.0111556 (-0.5% / -1.9%) | 1.829 / 4.960 | none | PASS / FAIL | 16.1 / 5.2 / 17.6 (7.8, 2.1, 5.9) |
| al-cap25 | 932 | 63.7 | 63.5 | 94 (4 min) / 120 | 0.0115757 (+3.3% / +1.8%) | 1.914 / 6.249 | none | FAIL / PASS | 10.0 / 4.5 / 19.5 (8.4, 3.3, 6.2) |
| red-cap100 | 932 | 58.6 | 58.4 | 100 (2 min) / 100 | 0.0127826 (+14.1% / +12.4%) | 1.934 / 6.111 | none | FAIL / FAIL | 12.6 / 6.4 / 15.7 (7.1, 3.3, 4.2) |
| e040 | 585 | 40.4 | 40.1 | 80 (2 min) / 122 | 0.0147679 (+31.8% / +29.9%) | 2.202 / 6.857 | none | FAIL / FAIL | 5.8 / 2.1 / 14.1 (7.8, 1.7, 3.5) |
| e050 | 417 | 15.8 | 15.8 | 21 (1 min) / 61 | 0.0191295 (+70.7% / +68.3%) | 2.460 / 7.849 | none | FAIL / FAIL | 2.6 / 0.7 / 6.5 (3.9, 0.7, 1.4) |
| psd-e050 | 417 | 18.9 | 17.8 | 36 (1 min) / 41 | 0.0191551 (+70.9% / +68.5%) | 2.426 / 7.578 | none | FAIL / FAIL | 3.4 / 0.7 / 4.6 (2.8, 0.4, 1.1) |
