| variant | PolyFEM azimuth vs input (deg, overall; per band low..high) | avbd azimuth vs input (deg) | avbd vs PolyFEM per vertex raw / after best y rotation (deg) / after Kabsch (mm mean, p95) | surface mean / p95 (mm) | PolyFEM wall (s, Newton) | avbd fit (s) |
|---|---|---|---|---|---|---|
| base | +20.9; +22.1 +20.8 +20.9 +20.2 +20.0 | -0.3 | 59.6 / 87.8; +17.9 deg: 34.2 / 67.9; 18.0 deg: 33.8 / 68.1 | 7.2 / 21.0 | 33, 131 | 16.3 |
| rot+30 | +7.4; +8.5 +7.9 +7.3 +6.4 +6.4 | +0.0 | 31.6 / 50.5; +5.8 deg: 27.8 / 44.5; 8.7 deg: 23.3 / 42.3 | 8.1 / 25.8 | 18, 64 | 16.2 |
| rot-30 | +0.4; +0.3 +0.1 +0.9 +0.8 -0.0 | +0.0 | 68.9 / 131.2; +0.6 deg: 40.5 / 71.9; 1.1 deg: 40.4 / 71.8 | 19.0 / 104.5 | 13, 42 | 15.1 |
| rad0.85 | -2.8; -1.5 -2.8 -2.6 -3.4 -3.8 | -0.7 | 55.0 / 97.2; -1.7 deg: 28.7 / 53.1; 1.8 deg: 28.6 / 53.2 | 14.9 / 71.4 | 19, 62 | 15.2 |
| rad1.15 | +21.5; +22.6 +21.3 +21.5 +20.9 +20.7 | +1.8 | 55.7 / 86.5; +16.6 deg: 33.5 / 63.7; 16.8 deg: 32.7 / 62.8 | 7.7 / 23.3 | 30, 117 | 15.6 |
| len0.85 | +0.5; +1.0 +0.8 +0.5 +0.3 -0.0 | +0.3 | 19.0 / 33.4; +0.1 deg: 16.4 / 28.4; 2.0 deg: 16.0 / 28.2 | 7.8 / 26.2 | 22, 81 | 15.1 |
| len1.15 | -6.7; -6.4 -6.8 -6.7 -6.7 -6.9 -6.7 | +0.1 | 84.2 / 149.8; -5.2 deg: 80.7 / 152.0; 7.2 deg: 79.9 / 148.4 | 28.9 / 137.4 | 48, 199 | 14.8 |
| LCL skirt, upstream cloth-fit 1 thread (cf-up-out1 step 252) | -2.8 (fit vertices -3.6) vs its retargeted start | - | - | - | - | - |
| LCL skirt, fit_native sdf64b | +2.2 (fit vertices +1.8) vs its retargeted start | - | - | - | - | - |
