# source: models/BiRefNet_HR-matting/model.safetensors
# tensors: 754  bytes: 444386812  dtypes: {'I64': 67, 'F16': 687}
name	dtype	shape	bytes
bb.layers.0.blocks.0.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.0.blocks.1.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.1.blocks.0.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.1.blocks.1.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.0.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.1.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.10.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.11.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.12.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.13.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.14.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.15.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.16.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.17.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.2.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.3.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.4.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.5.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.6.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.7.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.8.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.2.blocks.9.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.3.blocks.0.attn.relative_position_index	I64	[144, 144]	165888
bb.layers.3.blocks.1.attn.relative_position_index	I64	[144, 144]	165888
decoder.decoder_block1.bn_in.num_batches_tracked	I64	[]	8
decoder.decoder_block1.bn_out.num_batches_tracked	I64	[]	8
decoder.decoder_block1.dec_att.aspp1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block1.dec_att.aspp_deforms.0.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block1.dec_att.aspp_deforms.1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block1.dec_att.aspp_deforms.2.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block1.dec_att.bn1.num_batches_tracked	I64	[]	8
decoder.decoder_block1.dec_att.global_avg_pool.2.num_batches_tracked	I64	[]	8
decoder.decoder_block2.bn_in.num_batches_tracked	I64	[]	8
decoder.decoder_block2.bn_out.num_batches_tracked	I64	[]	8
decoder.decoder_block2.dec_att.aspp1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block2.dec_att.aspp_deforms.0.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block2.dec_att.aspp_deforms.1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block2.dec_att.aspp_deforms.2.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block2.dec_att.bn1.num_batches_tracked	I64	[]	8
decoder.decoder_block2.dec_att.global_avg_pool.2.num_batches_tracked	I64	[]	8
decoder.decoder_block3.bn_in.num_batches_tracked	I64	[]	8
decoder.decoder_block3.bn_out.num_batches_tracked	I64	[]	8
decoder.decoder_block3.dec_att.aspp1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block3.dec_att.aspp_deforms.0.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block3.dec_att.aspp_deforms.1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block3.dec_att.aspp_deforms.2.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block3.dec_att.bn1.num_batches_tracked	I64	[]	8
decoder.decoder_block3.dec_att.global_avg_pool.2.num_batches_tracked	I64	[]	8
decoder.decoder_block4.bn_in.num_batches_tracked	I64	[]	8
decoder.decoder_block4.bn_out.num_batches_tracked	I64	[]	8
decoder.decoder_block4.dec_att.aspp1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block4.dec_att.aspp_deforms.0.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block4.dec_att.aspp_deforms.1.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block4.dec_att.aspp_deforms.2.bn.num_batches_tracked	I64	[]	8
decoder.decoder_block4.dec_att.bn1.num_batches_tracked	I64	[]	8
decoder.decoder_block4.dec_att.global_avg_pool.2.num_batches_tracked	I64	[]	8
