# source: models/moge-3-vitl/model.pt
# tensors: 607  bytes: 1481137596  dtypes: {'float32': 607}
name	dtype	shape	bytes
model.encoder.image_mean	float32	[1, 3, 1, 1]	12
model.encoder.image_std	float32	[1, 3, 1, 1]	12
model.encoder.backbone.cls_token	float32	[1, 1, 1024]	4096
model.encoder.backbone.pos_embed	float32	[1, 1370, 1024]	5611520
model.encoder.backbone.mask_token	float32	[1, 1024]	4096
model.encoder.backbone.patch_embed.proj.weight	float32	[1024, 3, 14, 14]	2408448
model.encoder.backbone.patch_embed.proj.bias	float32	[1024]	4096
model.encoder.backbone.blocks.0.norm1.weight	float32	[1024]	4096
model.encoder.backbone.blocks.0.norm1.bias	float32	[1024]	4096
model.encoder.backbone.blocks.0.attn.qkv.weight	float32	[3072, 1024]	12582912
model.encoder.backbone.blocks.0.attn.qkv.bias	float32	[3072]	12288
model.encoder.backbone.blocks.0.attn.proj.weight	float32	[1024, 1024]	4194304
model.encoder.backbone.blocks.0.attn.proj.bias	float32	[1024]	4096
model.encoder.backbone.blocks.0.ls1.gamma	float32	[1024]	4096
model.encoder.backbone.blocks.0.norm2.weight	float32	[1024]	4096
model.encoder.backbone.blocks.0.norm2.bias	float32	[1024]	4096
model.encoder.backbone.blocks.0.mlp.fc1.weight	float32	[4096, 1024]	16777216
model.encoder.backbone.blocks.0.mlp.fc1.bias	float32	[4096]	16384
model.encoder.backbone.blocks.0.mlp.fc2.weight	float32	[1024, 4096]	16777216
model.encoder.backbone.blocks.0.mlp.fc2.bias	float32	[1024]	4096
model.encoder.backbone.blocks.0.ls2.gamma	float32	[1024]	4096
model.encoder.backbone.blocks.1.norm1.weight	float32	[1024]	4096
model.encoder.backbone.blocks.1.norm1.bias	float32	[1024]	4096
model.encoder.backbone.blocks.1.attn.qkv.weight	float32	[3072, 1024]	12582912
model.encoder.backbone.blocks.1.attn.qkv.bias	float32	[3072]	12288
model.encoder.backbone.blocks.1.attn.proj.weight	float32	[1024, 1024]	4194304
model.encoder.backbone.blocks.1.attn.proj.bias	float32	[1024]	4096
model.encoder.backbone.blocks.1.ls1.gamma	float32	[1024]	4096
model.encoder.backbone.blocks.1.norm2.weight	float32	[1024]	4096
model.encoder.backbone.blocks.1.norm2.bias	float32	[1024]	4096
model.encoder.backbone.blocks.1.mlp.fc1.weight	float32	[4096, 1024]	16777216
model.encoder.backbone.blocks.1.mlp.fc1.bias	float32	[4096]	16384
model.encoder.backbone.blocks.1.mlp.fc2.weight	float32	[1024, 4096]	16777216
model.encoder.backbone.blocks.1.mlp.fc2.bias	float32	[1024]	4096
model.encoder.backbone.blocks.1.ls2.gamma	float32	[1024]	4096
model.encoder.backbone.blocks.2.norm1.weight	float32	[1024]	4096
model.encoder.backbone.blocks.2.norm1.bias	float32	[1024]	4096
model.encoder.backbone.blocks.2.attn.qkv.weight	float32	[3072, 1024]	12582912
model.encoder.backbone.blocks.2.attn.qkv.bias	float32	[3072]	12288
model.encoder.backbone.blocks.2.attn.proj.weight	float32	[1024, 1024]	4194304
model.encoder.backbone.blocks.2.attn.proj.bias	float32	[1024]	4096
model.encoder.backbone.blocks.2.ls1.gamma	float32	[1024]	4096
model.encoder.backbone.blocks.2.norm2.weight	float32	[1024]	4096
model.encoder.backbone.blocks.2.norm2.bias	float32	[1024]	4096
model.encoder.backbone.blocks.2.mlp.fc1.weight	float32	[4096, 1024]	16777216
model.encoder.backbone.blocks.2.mlp.fc1.bias	float32	[4096]	16384
model.encoder.backbone.blocks.2.mlp.fc2.weight	float32	[1024, 4096]	16777216
model.encoder.backbone.blocks.2.mlp.fc2.bias	float32	[1024]	4096
model.encoder.backbone.blocks.2.ls2.gamma	float32	[1024]	4096
model.encoder.backbone.blocks.3.norm1.weight	float32	[1024]	4096
model.encoder.backbone.blocks.3.norm1.bias	float32	[1024]	4096
model.encoder.backbone.blocks.3.attn.qkv.weight	float32	[3072, 1024]	12582912
model.encoder.backbone.blocks.3.attn.qkv.bias	float32	[3072]	12288
model.encoder.backbone.blocks.3.attn.proj.weight	float32	[1024, 1024]	4194304
