# source: models/NAF/naf_release.pth
# tensors: 37  bytes: 2650176  dtypes: {'float32': 37}
name	dtype	shape	bytes
image_encoder.encoder.0.weight	float32	[128, 3, 1, 1]	1536
image_encoder.encoder.0.bias	float32	[128]	512
image_encoder.encoder.1.norm1.weight	float32	[128]	512
image_encoder.encoder.1.norm1.bias	float32	[128]	512
image_encoder.encoder.1.conv1.weight	float32	[128, 128, 1, 1]	65536
image_encoder.encoder.1.conv1.bias	float32	[128]	512
image_encoder.encoder.1.norm2.weight	float32	[128]	512
image_encoder.encoder.1.norm2.bias	float32	[128]	512
image_encoder.encoder.1.conv2.weight	float32	[128, 128, 1, 1]	65536
image_encoder.encoder.1.conv2.bias	float32	[128]	512
image_encoder.encoder.2.norm1.weight	float32	[128]	512
image_encoder.encoder.2.norm1.bias	float32	[128]	512
image_encoder.encoder.2.conv1.weight	float32	[128, 128, 1, 1]	65536
image_encoder.encoder.2.conv1.bias	float32	[128]	512
image_encoder.encoder.2.norm2.weight	float32	[128]	512
image_encoder.encoder.2.norm2.bias	float32	[128]	512
image_encoder.encoder.2.conv2.weight	float32	[128, 128, 1, 1]	65536
image_encoder.encoder.2.conv2.bias	float32	[128]	512
image_encoder.sem_encoder.0.weight	float32	[128, 3, 3, 3]	13824
image_encoder.sem_encoder.0.bias	float32	[128]	512
image_encoder.sem_encoder.1.norm1.weight	float32	[128]	512
image_encoder.sem_encoder.1.norm1.bias	float32	[128]	512
image_encoder.sem_encoder.1.conv1.weight	float32	[128, 128, 3, 3]	589824
image_encoder.sem_encoder.1.conv1.bias	float32	[128]	512
image_encoder.sem_encoder.1.norm2.weight	float32	[128]	512
image_encoder.sem_encoder.1.norm2.bias	float32	[128]	512
image_encoder.sem_encoder.1.conv2.weight	float32	[128, 128, 3, 3]	589824
image_encoder.sem_encoder.1.conv2.bias	float32	[128]	512
image_encoder.sem_encoder.2.norm1.weight	float32	[128]	512
image_encoder.sem_encoder.2.norm1.bias	float32	[128]	512
image_encoder.sem_encoder.2.conv1.weight	float32	[128, 128, 3, 3]	589824
image_encoder.sem_encoder.2.conv1.bias	float32	[128]	512
image_encoder.sem_encoder.2.norm2.weight	float32	[128]	512
image_encoder.sem_encoder.2.norm2.bias	float32	[128]	512
image_encoder.sem_encoder.2.conv2.weight	float32	[128, 128, 3, 3]	589824
image_encoder.sem_encoder.2.conv2.bias	float32	[128]	512
image_encoder.rope.periods	float32	[16]	64
